 X_force  Z_force     lambda  Y_force    time(sec)
  0.5018   0.6875  340.04190   4.3428  10870.94531
  1.0253   0.6643  339.31335   4.2115  10870.94531
  0.8159   0.6672  339.58475   4.3327  10870.94727
  0.6536   0.7107  339.70545   4.3529  10870.94824
  0.3866   0.6759  339.69160   4.4388  10870.94824
  0.5385   0.5367  340.28785   4.4994  10870.94922
  0.5803   0.5338  339.85595   4.5903  10870.95117
  0.4879   0.4323  339.69645   4.8040  10870.95215
  0.5228   0.4439  339.92385   4.8646  10870.95215
  0.4913   0.3163  339.79315   4.9488  10870.95312
  0.6065   0.3279  340.26705   5.0397  10870.95508
  0.5995   0.3897  339.67170   4.9118  10870.95605
  0.2715   0.3975  339.92690   4.8714  10870.95605
  0.2226   0.4052  339.75900   4.8108  10870.95703
  0.9101   0.3337  339.80555   4.9135  10870.95898
  1.5226   0.5077  339.81925   4.6610  10870.95996
  1.3970   0.5483  340.14660   4.6610  10870.95996
  1.2975   0.5048  339.97995   4.6559  10870.96094
  1.3604   0.4961  339.83135   4.7418  10870.96289
  2.1247   0.5715  339.96170   4.7266  10870.96289
  1.2557   0.5715  339.78570   4.6357  10870.96387
  1.0044   0.4265  339.78825   4.8377  10870.96582
  1.0881   0.4497  339.98525   4.8327  10870.96680
  1.1928   0.5396  339.64090   4.7771  10870.96777
  1.2975   0.5338  340.04275   4.7064  10870.96777
  1.1405   0.4497  339.87890   4.8226  10870.96875
  1.0672   0.5309  340.16930   4.7569  10870.97070
  0.7269   0.6382  339.91720   4.6660  10870.97168
  0.9206   0.5367  339.90890   4.7266  10870.97266
  0.8159   0.4129  339.59100   4.8646  10870.97266
  1.2138   0.4787  339.96305   4.7771  10870.97461
  0.3134   0.5831  339.12845   4.8377  10870.97559
  0.2854   0.5483  339.49990   4.7098  10870.97559
  0.1249   0.4245  339.43605   4.8108  10870.97656
  0.5507   0.4825  339.93555   4.7165  10870.97754
  0.6850   0.4816  340.03730   4.7165  10870.97949
  1.1614   0.4497  339.77790   4.7973  10870.97949
  1.4965   0.4439  339.98215   4.7620  10870.98242
  1.1981   0.4033  339.81915   4.7418  10870.98242
  0.5489   0.4729  339.68985   4.6963  10870.98438
  1.1300   0.3511  339.75025   4.7771  10870.98438
  0.6379   0.3569  339.76950   4.7771  10870.98633
  0.5071   0.2786  339.61075   4.8933  10870.98633
  0.8944   0.4323  339.79940   4.7822  10870.98828
  0.6798   0.5106  339.74405   4.7721  10870.98828
  0.6379   0.3859  339.79990   4.8781  10870.99023
  0.4599   0.4381  339.73175   4.8428  10870.99023
  0.3971   0.4323  339.83645   4.7923  10870.99219
  0.4652   0.4729  339.54840   4.8125  10870.99219
  0.6414   0.5019  339.73670   4.7906  10870.99414
  1.2557   0.5135  340.06660   4.7771  10870.99414
  0.7322   0.4671  339.30350   4.9185  10870.99512
  0.9311   0.7049  339.28770   4.5650  10870.99609
  0.5908   0.6556  339.53625   4.6054  10870.99805
  0.2977   0.6585  339.54000   4.6054  10870.99805
  0.6746   0.6643  339.62755   4.6307  10871.00000
  0.6536   0.6469  339.59275   4.6509  10871.00000
  0.1615   0.6643  339.65200   4.6509  10871.00195
  0.0935   0.7281  339.60080   4.6408  10871.00195
  0.1144   0.6353  339.84260   4.5953  10871.00391
  0.2436   0.5792  339.64810   4.6761  10871.00391
  0.0883   0.6266  339.68660   4.6963  10871.00781
  0.5803   0.6643  339.73305   4.7064  10871.00781
  0.3064   0.5947  339.56310   4.7098  10871.00879
  0.8299   0.4593  340.00935   4.8108  10871.00977
