 X_force  Z_force     lambda  Y_force    time(sec)
  0.4285   0.7223  295.65745   4.1206  11028.75977
  0.5856   0.7107  294.85790   4.0297  11028.76172
  1.3604   0.8209  295.66510   4.0903  11028.76172
  1.3255   0.8963  295.38290   3.8412  11028.76270
  1.3743   0.9427  295.63100   3.8075  11028.76465
  1.3342   0.9891  295.83110   3.8176  11028.76562
  0.9730   0.9456  295.56810   3.8227  11028.76562
  0.8369   0.9601  295.26665   3.8732  11028.76758
  1.8158   1.0268  295.39580   3.8075  11028.76855
  1.9571   1.0471  295.46350   3.7974  11028.76855
  1.6186   1.0780  295.45070   3.7065  11028.76953
  1.7373   1.0355  295.07500   3.8075  11028.77051
  1.1998   0.9001  295.54405   3.8681  11028.77246
  1.4284   0.9427  295.60270   4.0196  11028.77344
  0.8578   0.8876  295.46345   3.8176  11028.77344
  1.1876   0.9427  295.88645   3.4035  11028.77539
  0.9311   0.9572  295.70560   3.2470  11028.77637
  0.8107   0.9021  295.33930   3.5146  11028.77637
  1.1579   0.7377  295.68010   3.8816  11028.77734
  1.5279   0.6101  295.73980   3.9354  11028.77832
  1.0393   0.6720  295.49310   3.6796  11028.78027
  1.0253   0.6295  295.65770   3.7267  11028.78027
  0.7740   0.6643  295.14255   3.6459  11028.78125
  0.6798   0.6817  295.28670   3.7469  11028.78320
  0.9625   0.7919  295.56075   3.6594  11028.78418
  1.2068   0.7919  295.70900   3.7806  11028.78516
  1.3324   0.7571  295.87385   3.5718  11028.78516
  1.1771   0.6440  295.88225   3.5348  11028.78711
  1.4808   0.7542  295.69835   3.3783  11028.78711
  1.5802   0.7252  295.31940   3.5045  11028.78906
  1.6692   0.8905  295.59825   3.4540  11028.79102
  1.7024   0.9852  295.32460   3.1813  11028.79199
  1.7582   0.9079  295.12240   3.2823  11028.79199
  1.1649   1.0509  295.74880   3.3968  11028.79297
  0.7845   0.9166  295.29690   3.5651  11028.79492
  0.8630   0.7861  295.54700   3.5752  11028.79590
  1.3185   0.8934  295.71560   3.4793  11028.79590
  1.3237   0.9659  295.72235   3.4894  11028.79688
  1.4912   0.9775  295.78295   3.3379  11028.79883
  1.3673   0.9311  295.56825   3.5718  11028.79980
  1.1649   0.8769  295.51820   3.4170  11028.79980
  1.3080   0.7977  295.69940   3.6257  11028.80078
  1.4127   0.6933  295.65815   3.7772  11028.80176
  1.7059   0.8267  295.61645   3.6762  11028.80371
  1.7303   0.7687  295.23855   3.9220  11028.80469
  1.4389   0.8122  295.50605   3.7722  11028.80469
  1.6692   0.7107  295.50010   3.7318  11028.80664
  1.0934   0.7542  295.28550   3.4843  11028.80762
  1.0096   0.7136  295.44860   3.3833  11028.80762
  1.2504   0.7774  295.75230   3.4944  11028.80859
  1.6535   1.0007  295.46810   3.2621  11028.81055
  1.3970   1.0065  295.81900   3.3025  11028.81152
  0.6484   0.8847  295.45655   3.2823  11028.81152
  0.7740   0.9543  295.43425   3.4439  11028.81250
  0.8369   0.8344  295.57320   3.6930  11028.81348
  1.1771   0.7948  295.78360   3.6055  11028.81543
  1.2400   0.9282  295.60965   3.4035  11028.81543
  1.2661   0.8731  295.41805   3.8429  11028.81641
  1.1510   0.8093  295.56015   3.4389  11028.81836
  0.8159   0.6585  295.47025   3.5803  11028.81934
  0.4530   0.5637  295.93790   3.4304  11028.82031
  1.1300   0.8151  295.62860   3.2554  11028.82031
  1.4127   0.7861  295.65965   3.2722  11028.82129
  1.9257   0.8151  295.83865   3.5146  11028.82227
  1.8943   0.9369  295.67090   3.4641  11028.82422
  1.4860   0.9736  295.40925   3.3698  11028.82422
  1.0393   0.9736  295.67300   3.3496  11028.82520
  1.1300   1.0007  295.95675   3.1864  11028.82715
  1.2609   0.9659  295.29810   3.3177  11028.82812
  1.5069   0.8441  295.58275   3.4591  11028.83008
  1.2975   0.7455  295.60855   3.7621  11028.83105
  1.6326   0.8267  295.42310   3.6661  11028.83203
  1.4179   0.7890  295.79800   3.7772  11028.83203
  1.2975   0.7455  295.43425   3.3429  11028.83398
  0.8927   0.6991  295.57345   3.3968  11028.83496
  0.6850   0.8615  295.72480   3.4692  11028.83594
  0.4756   0.7020  295.67080   3.7217  11028.83594
  0.3622   0.7068  295.71415   3.7065  11028.83691
  0.4599   0.8576  295.51765   3.3227  11028.83887
  0.9974   0.8653  295.36245   3.4978  11028.83887
  1.4581   0.8499  295.53075   3.4035  11028.83984
  1.0201   0.9079  295.87275   3.2419  11028.84180
  0.8421   0.9137  295.55595   3.5702  11028.84180
  0.1458   0.8267  295.47525   3.6661  11028.84277
  0.1458   0.7571  295.45385   3.8277  11028.84375
  0.5367   0.7957  296.10640   3.5180  11028.84668
  1.3185   0.8789  295.89920   3.3732  11028.84668
  0.5123   0.7426  295.75440   3.5500  11028.84668
 -0.0688   0.8122  295.77395   3.5803  11028.84766
  0.2872   0.7571  296.06755   3.7267  11028.84961
  0.9259   0.6933  295.96155   3.6510  11028.84961
  1.2504   0.6063  295.99995   3.6257  11028.85156
  0.8630   0.5280  296.01725   3.7065  11028.85156
  0.7950   0.5309  295.89335   3.7873  11028.85352
  0.6693   0.5947  296.14735   3.6661  11028.85352
  0.6065   0.5193  295.76200   3.8479  11028.85547
  0.8927   0.6527  295.98070   3.6122  11028.85547
  0.9974   0.6411  295.97130   3.7469  11028.85645
  0.5507   0.7687  296.11375   3.5853  11028.85840
  0.4599   0.6585  296.12235   3.7570  11028.85938
  0.8369   0.6324  295.94490   3.4641  11028.85938
  0.7845   0.6092  296.13305   3.7570  11028.86133
  1.2138   0.8151  295.82750   3.9388  11028.86133
  1.0323   0.8267  295.83690   3.7536  11028.86230
  0.3134   0.7571  295.77570   3.6863  11028.86328
  0.9485   0.8692  295.62820   3.8479  11028.86621
  0.6536   0.7977  295.83205   3.6560  11028.86621
  0.9468   0.6788  295.52695   3.6005  11028.86719
  0.8159   0.7948  295.85840   3.4793  11028.86914
  0.5699   0.8325  295.92555   3.4843  11028.87012
  0.5228   0.9195  295.60150   3.5500  11028.87012
  0.2558   0.9224  295.73035   3.6055  11028.87109
  0.7391   0.7145  296.10265   3.6930  11028.87207
  0.7112   0.7532  295.95810   3.5180  11028.87402
  1.0672   0.8441  295.67285   3.3934  11028.87695
  0.6693   0.7996  295.80280   3.4641  11028.87793
  0.6624   0.7803  295.78965   3.5449  11028.87793
  0.2505   0.7803  295.58450   3.6560  11028.87891
 -0.1264   0.6440  295.78190   3.6459  11028.88086
  0.3186   0.6382  295.51320   3.6308  11028.88184
  0.3552   0.7020  296.21900   3.5197  11028.88184
  1.1300   0.8963  295.62135   3.5449  11028.88281
  1.1091   0.9543  295.63985   3.4776  11028.88379
  1.2557   1.0703  296.14735   3.2217  11028.88477
  0.8159   0.9388  295.76955   3.4035  11028.88574
  0.0830   0.8006  295.84875   3.5601  11028.88672
  0.2139   0.6759  296.01895   3.8429  11028.88867
  0.2505   0.6324  295.94565   3.6762  11028.88965
  0.9625   0.6904  296.08445   3.9893  11028.88965
  1.1195   0.8673  295.60070   3.5348  11028.89062
  0.4338   0.7600  295.68810   3.7974  11028.89258
  0.4250   0.7107  295.94190   3.6459  11028.89355
  0.3762   0.5077  296.17665   4.0398  11028.89355
